#Estimated NXB spectrum by Wataru Iwakiri
#the NXB has estimated from the bgd simulator of MAXI 
#at the Crab region during MJD58000 to 58300
#the CXB component of MAXI has been subtracted 
#the flux will be changed about 40 percent due to ISS orbital position
#the Ti and Cu lines are due to the MAXI assembly 
EMIN, EMAX, counts/s/keV
78.30, 78.40, 5.319e-03
78.40, 78.50, 5.309e-03
78.50, 78.60, 5.309e-03
78.60, 78.70, 5.299e-03
78.70, 78.80, 5.289e-03
78.80, 78.90, 5.279e-03
78.90, 79.00, 5.279e-03
79.00, 79.10, 5.269e-03
79.10, 79.20, 5.259e-03
79.20, 79.30, 5.259e-03
79.30, 79.40, 5.249e-03
79.40, 79.50, 5.239e-03
79.50, 79.60, 5.229e-03
79.60, 79.70, 5.229e-03
79.70, 79.80, 5.219e-03
79.80, 79.90, 5.209e-03
79.90, 80.00, 5.200e-03
80.00, 80.10, 5.200e-03
80.10, 80.20, 5.189e-03
80.20, 80.30, 5.190e-03
80.30, 80.40, 5.190e-03
80.40, 80.50, 5.180e-03
80.50, 80.60, 5.180e-03
80.60, 80.70, 5.180e-03
80.70, 80.80, 5.170e-03
80.80, 80.90, 5.170e-03
80.90, 81.00, 5.160e-03
81.00, 81.10, 5.160e-03
81.10, 81.20, 5.160e-03
81.20, 81.30, 5.150e-03
81.30, 81.40, 5.150e-03
81.40, 81.50, 5.150e-03
81.50, 81.60, 5.140e-03
81.60, 81.70, 5.140e-03
81.70, 81.80, 5.130e-03
81.80, 81.90, 5.130e-03
81.90, 82.00, 5.130e-03
82.00, 82.10, 5.120e-03
82.10, 82.20, 5.120e-03
82.20, 82.30, 5.120e-03
82.30, 82.40, 5.110e-03
82.40, 82.50, 5.110e-03
82.50, 82.60, 5.100e-03
82.60, 82.70, 5.100e-03
82.70, 82.80, 5.100e-03
82.80, 82.90, 5.090e-03
82.90, 83.00, 5.090e-03
83.00, 83.10, 5.090e-03
83.10, 83.20, 5.080e-03
83.20, 83.30, 5.080e-03
83.30, 83.40, 5.070e-03
83.40, 83.50, 5.070e-03
83.50, 83.60, 5.070e-03
83.60, 83.70, 5.060e-03
83.70, 83.80, 5.060e-03
83.80, 83.90, 5.060e-03
83.90, 84.00, 5.050e-03
84.00, 84.10, 5.050e-03
84.10, 84.20, 5.050e-03
84.20, 84.30, 5.040e-03
84.30, 84.40, 5.040e-03
84.40, 84.50, 5.030e-03
84.50, 84.60, 5.030e-03
84.60, 84.70, 5.030e-03
84.70, 84.80, 5.020e-03
84.80, 84.90, 5.020e-03
84.90, 85.00, 5.020e-03
85.00, 85.10, 5.010e-03
85.10, 85.20, 5.010e-03
85.20, 85.30, 5.000e-03
85.30, 85.40, 5.000e-03
85.40, 85.50, 5.000e-03
85.50, 85.60, 4.990e-03
85.60, 85.70, 4.990e-03
85.70, 85.80, 4.990e-03
85.80, 85.90, 4.980e-03
85.90, 86.00, 4.980e-03
86.00, 86.10, 4.970e-03
86.10, 86.20, 4.970e-03
86.20, 86.30, 4.970e-03
86.30, 86.40, 4.960e-03
86.40, 86.50, 4.960e-03
86.50, 86.60, 4.960e-03
86.60, 86.70, 4.950e-03
86.70, 86.80, 4.950e-03
86.80, 86.90, 4.940e-03
86.90, 87.00, 4.940e-03
87.00, 87.10, 4.940e-03
87.10, 87.20, 4.930e-03
87.20, 87.30, 4.930e-03
87.30, 87.40, 4.930e-03
87.40, 87.50, 4.920e-03
87.50, 87.60, 4.920e-03
87.60, 87.70, 4.910e-03
87.70, 87.80, 4.910e-03
87.80, 87.90, 4.910e-03
87.90, 88.00, 4.900e-03
88.00, 88.10, 4.900e-03
88.10, 88.20, 4.900e-03
88.20, 88.30, 4.890e-03
88.30, 88.40, 4.890e-03
88.40, 88.50, 4.880e-03
88.50, 88.60, 4.880e-03
88.60, 88.70, 4.880e-03
88.70, 88.80, 4.870e-03
88.80, 88.90, 4.870e-03
88.90, 89.00, 4.870e-03
89.00, 89.10, 4.860e-03
89.10, 89.20, 4.860e-03
89.20, 89.30, 4.850e-03
89.30, 89.40, 4.850e-03
89.40, 89.50, 4.850e-03
89.50, 89.60, 4.840e-03
89.60, 89.70, 4.840e-03
89.70, 89.80, 4.840e-03
89.80, 89.90, 4.830e-03
89.90, 90.00, 4.830e-03
90.00, 90.10, 4.820e-03
90.10, 90.20, 4.820e-03
90.20, 90.30, 4.820e-03
90.30, 90.40, 4.810e-03
90.40, 90.50, 4.810e-03
90.50, 90.60, 4.810e-03
90.60, 90.70, 4.800e-03
90.70, 90.80, 4.800e-03
90.80, 90.90, 4.790e-03
90.90, 91.00, 4.790e-03
91.00, 91.10, 4.790e-03
91.10, 91.20, 4.780e-03
91.20, 91.30, 4.780e-03
91.30, 91.40, 4.780e-03
91.40, 91.50, 4.770e-03
91.50, 91.60, 4.770e-03
91.60, 91.70, 4.770e-03
91.70, 91.80, 4.760e-03
91.80, 91.90, 4.760e-03
91.90, 92.00, 4.750e-03
92.00, 92.10, 4.750e-03
92.10, 92.20, 4.750e-03
92.20, 92.30, 4.740e-03
92.30, 92.40, 4.740e-03
92.40, 92.50, 4.740e-03
92.50, 92.60, 4.730e-03
92.60, 92.70, 4.730e-03
92.70, 92.80, 4.720e-03
92.80, 92.90, 4.720e-03
92.90, 93.00, 4.720e-03
93.00, 93.10, 4.710e-03
93.10, 93.20, 4.710e-03
93.20, 93.30, 4.710e-03
93.30, 93.40, 4.700e-03
93.40, 93.50, 4.700e-03
93.50, 93.60, 4.690e-03
93.60, 93.70, 4.690e-03
93.70, 93.80, 4.690e-03
93.80, 93.90, 4.680e-03
93.90, 94.00, 4.680e-03
94.00, 94.10, 4.680e-03
94.10, 94.20, 4.670e-03
94.20, 94.30, 4.670e-03
94.30, 94.40, 4.660e-03
94.40, 94.50, 4.660e-03
94.50, 94.60, 4.660e-03
94.60, 94.70, 4.650e-03
94.70, 94.80, 4.650e-03
94.80, 94.90, 4.650e-03
94.90, 95.00, 4.640e-03
95.00, 95.10, 4.640e-03
95.10, 95.20, 4.630e-03
95.20, 95.30, 4.630e-03
95.30, 95.40, 4.630e-03
95.40, 95.50, 4.620e-03
95.50, 95.60, 4.620e-03
95.60, 95.70, 4.620e-03
95.70, 95.80, 4.610e-03
95.80, 95.90, 4.610e-03
95.90, 96.00, 4.600e-03
96.00, 96.10, 4.600e-03
96.10, 96.20, 4.600e-03
96.20, 96.30, 4.590e-03
96.30, 96.40, 4.590e-03
96.40, 96.50, 4.590e-03
96.50, 96.60, 4.580e-03
96.60, 96.70, 4.580e-03
96.70, 96.80, 4.570e-03
96.80, 96.90, 4.570e-03
96.90, 97.00, 4.570e-03
97.00, 97.10, 4.560e-03
97.10, 97.20, 4.560e-03
97.20, 97.30, 4.560e-03
97.30, 97.40, 4.550e-03
97.40, 97.50, 4.550e-03
97.50, 97.60, 4.540e-03
97.60, 97.70, 4.540e-03
97.70, 97.80, 4.540e-03
97.80, 97.90, 4.530e-03
97.90, 98.00, 4.530e-03
98.00, 98.10, 4.530e-03
98.10, 98.20, 4.520e-03
98.20, 98.30, 4.520e-03
98.30, 98.40, 4.510e-03
98.40, 98.50, 4.510e-03
98.50, 98.60, 4.510e-03
98.60, 98.70, 4.500e-03
98.70, 98.80, 4.500e-03
98.80, 98.90, 4.500e-03
98.90, 99.00, 4.490e-03
99.00, 99.10, 4.490e-03
99.10, 99.20, 4.490e-03
99.20, 99.30, 4.480e-03
99.30, 99.40, 4.480e-03
99.40, 99.50, 4.470e-03
99.50, 99.60, 4.470e-03
99.60, 99.70, 4.470e-03
99.70, 99.80, 4.460e-03
99.80, 99.90, 4.460e-03
99.90, 100.00, 4.460e-03
100.00, 100.10, 4.450e-03
100.10, 100.20, 4.450e-03
100.20, 100.30, 4.440e-03
100.30, 100.40, 4.440e-03
100.40, 100.50, 4.440e-03
